EWHA_ORI_SPID	DB_Chemical_name	FINAL_CID	Hepatotoxicity	SCORE	HLT	PT	LIVERTOX_SCORE	LIVERTOX_REF_CONT	REF_FILE_NAME	REF_FILE_PAGE	SAMPLE_CLASS
LV_0	17-Hydroxyprogesterone	6238	1	3	Cholestasis and jaundice	Jaundice	B	More importantly, cyproterone has been associated with many instances of clinically apparent liver injury with jaundice. The time to onset has ranged from a few months to as long as a year, but typically arises within 3 to 6 months of starting treatment.	Cyproterone.pdf	1	T_1_3
LV_1	8-Methoxsalen	4114	1	3	Hepatocellular damage and hepatitis NEC	Liver injury	C	Clinically apparent acute liver injury has also been reported with oral methoxsalen therapy, but only in isolated case reports including one instance attributed to topical methoxsalen therapy.	Psoralen.pdf	1	T_1_3
LV_2	Abacavir	441300	1	3	Cholestasis and jaundice	Cholestasis	C	The onset is usually within 1 to 3 months of starting abacavir. The serum enzyme pattern can be hepatocellular or cholestatic.	Abacavir.pdf	1	T_1_3
LV_3	Abemaciclib	46220502	0	3	NO_HLT	NO_PT	E*	Thus, there were no cases of clinically apparent liver injury that could be attributed to abemaciclib therapy during prelicensure studies. 	Abemaciclib.pdf	2	T_0_3
LV_4	Abiraterone	132971	1	3	Hepatic failure and associated disorders	Acute hepatic failure	E*	Nevertheless, clinically apparent liver injury with jaundice was not reported in the preregistration trials of abiraterone, although such cases including examples of acute liver failure have been reported to the sponsor since its licensure and more widespread use.	Abiraterone.pdf	1	T_1_3
LV_5	Abiraterone	132971	0	3	NO_HLT	NO_PT	E*	There have been no publications or descriptions of the clinical features of hepatotoxicity with jaundice associated with abiraterone therapy. 	Abiraterone.pdf	1	T_0_3
LV_6	Acalabrutinib	71226662	1	3	Hepatic viral infections	Hepatitis B reactivation	D	Reactivation of hepatitis B from acalabrutinib is probably the result of profound B cell suppression, which can lead to increases in viral replication, which can result in severe hepatitis upon immune reconstitution.	Acalabrutinib.pdf	2	T_1_3
LV_7	Acamprosate	71158	0	3	NO_HLT	NO_PT	E	Despite widescale use in alcohol treatment programs, there have yet to be published reports of clinically apparent acute liver injury attributed to acamprosate therapy.	Acamprosate.pdf	1	T_0_3
LV_8	Acarbose	41774	1	3	Hepatic viral infections	Hepatitis viral	B	The liver injury typically arises 2 to 8 months after starting therapy and is associated with a hepatocellular pattern of serum enzyme elevations with marked increases in serum ALT levels, suggestive of acute viral hepatitis.	Acarbose.pdf	1	T_1_3
LV_9	Acebutolol	1978	0	3	NO_HLT	NO_PT	C	There have been few documented cases of clinically apparent, acute liver injury attributed to acebutolol. 	Acebutolol.pdf	1	T_0_3
LV_10	Acetaminophen	1983	1	3	Hepatocellular damage and hepatitis NEC	Hepatocellular injury	A	The best known form of hepatoxicity from acetaminophen is an acute, serious hepatocellular injury as a result of intentional or unintentional overdose.	Acetaminophen.pdf	2	T_1_3
LV_11	Acetazolamide	1986	0	3	NO_HLT	NO_PT	D	Idiosyncratic, clinically apparent liver injury from acetazolamide and methazolamide is rare, 	CarbonicAnhydraseInh.pdf	1	T_0_3
LV_12	Acetohexamide	1989	1	3	Cholestasis and jaundice	ETC	B	Various combinations of hepatocellular and cholestatic injury have been described with sulfonylurea induced liver injury, and many cases are reported to be mixed.	FstGenSulfonylureas.pdf	1	T_1_3
LV_13	Acetylcysteine	12035	0	3	NO_HLT	NO_PT	E	In the many studies of acetylcysteine use with acetaminophen overdose as well as with other conditions such as contrast media nephropathy, pulmonary fibrosis, cystic fibrosis and ulcerative colitis, it has not been associated with serum enzyme elevations during therapy or with episodes of clinically apparent liver injury.	Acetylcysteine.pdf	2	T_0_3
LV_14	Acitretin	5284513	1	3	Hepatocellular damage and hepatitis NEC	Liver injury	B	Acitretin can also cause clinically apparent liver injury with symptoms and jaundice. Although uncommon, acute liver injury from acitretin is well described and is estimated to occur in 0.1% to 0.5% of treated patients.	Acitretin.pdf	1	T_1_3
LV_15	Aclidinium	11519741	0	3	NO_HLT	NO_PT	NO_SCORE	Like other anticholinergic agents, aclidinium has not been linked to episodes of liver enzyme elevations or clinically apparent liver injury.	Aclidinium.pdf	1	T_0_3
LV_16	Acrivastine	5284514	0	3	NO_HLT	NO_PT	E	Acrivastine has not been linked to liver enzyme elevations or to instances of clinically apparent liver injury.	Acrivastine.pdf	1	T_0_3
LV_17	Acyclovir	135398513	1	3	Hepatocellular damage and hepatitis NEC	Liver injury	D	Some degree of liver injury and even jaundice can occur during the course of herpes simplex or varicella zoster infection, and these complications could be mistaken for drug induced liver injury.	Acyclovir.pdf	1	T_1_3
LV_18	Adefovir	60172	1	3	ETC	ETC	E	Adefovir has not been associated with cases of lactic acidosis with hepatic steatosis and liver failure.	Adefovir.pdf	2	T_1_3
LV_19	Aegeline	15558419	1	3	Cholestasis and jaundice	Jaundice	A	The typical presenting symptoms were fatigue, nausea, and abdominal pain followed by dark urine and jaundice.	OxyELITEPro.pdf	1	T_1_3
LV_20	Afatinib	10184653	0	3	NO_HLT	NO_PT	D	Specific details of the liver injury associated with afatinib such as latency, serum enzyme pattern, clinical features and course, have not been published. 	Afatinib.pdf	1	T_0_3
LV_21	Albendazole	2082	1	3	Hepatocellular damage and hepatitis NEC	Mixed liver injury	B	The injury can also arise 1 to 2 weeks after a short course of albendazole (1 to 3 days). The pattern of serum enzyme elevations is typically hepatocellular or mixed.	Albendazole.pdf	1	T_1_3
LV_22	Albiglutide	145994868	0	3	NO_HLT	NO_PT	E	In large clinical trials, serum enzyme elevations were no more common with albiglutide therapy than with placebo or comparator agents, and no instances of clinically apparent liver injury were reported.	Albiglutide.pdf	1	T_0_3
LV_23	Albuterol Sulfate	39859	0	3	NO_HLT	NO_PT	E	Prospective studies have shown that ALT elevations occur in less than 1% of patients receiving long term oral therapy with typical beta adrenergic bronchodilators, but instances of clinically apparent liver injury have not been reported in any detail.	Beta2AdrenergicAgoni.pdf	2	T_0_3
LV_24	Alectinib	49806720	1	3	Hepatocellular damage and hepatitis NEC	Liver injury	D	alectinib has been reported to cause liver injury that can be clinically significant and require drug discontinuation, but the clinical features of the injury have not been well defined and their relationship to treatment not definitively shown.	Alectinib.pdf	1	T_1_3
LV_25	Alendronate	2088	1	3	Cholestasis and jaundice	Jaundice	C	Since their general availability and wide scale use, however, there have been occasional publications reporting clinically apparent acute liver injury due to the more commonly used bisphosphonates (alendronate, ibandronate, risedronate, zoledronate), some of which were accompanied by mild jaundice. The time to onset ranged from 2 to 6 months or more, and patients typically presented with abdominal discomfort and nausea, sometimes followed by jaundice.	Bisphosphonates.pdf	2	T_1_3
LV_26	Alfentanil	51263	0	3	NO_HLT	NO_PT	E	Although fentanyl has many serious side effects and has been implicated in deaths from overdose and inadvertent use, it has not been linked to cases of clinically apparent liver injury	FentanylAndAnalogues.pdf	2	T_0_3
LV_27	Alfuzosin	2092	1	3	Hepatocellular damage and hepatitis NEC	Hepatocellular injury	C	These high bioavailability forms of turmeric were subsequently linked to several cases of liver injury and mentioned as a possible cause of outbreaks of acute hepatitis with jaundice in Italy.	Alfuzosin.pdf	1	T_1_3
LV_28	Aliskiren	5493444	1	3	Cholestasis and jaundice	Jaundice	C	An instance of serum aminotransferase elevation with jaundice was reported in the registration trials of aliskiren and several instances of marked serum enzyme elevations during therapy with few symptoms and without jaundice have been reported.	Aliskiren.pdf	1	T_1_3
